nloc,ccn,token_count,parameter_count,length,location,file,function_name,long_name,start_line,end_line
4,1,32,2,4,"__init__@35-38@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","__init__","__init__( self , request )",35,38
2,1,9,1,2,"get_type@40-41@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","get_type","get_type( self )",40,41
2,1,16,1,2,"get_host@43-44@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","get_host","get_host( self )",43,44
2,1,11,1,2,"get_origin_req_host@46-47@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","get_origin_req_host","get_origin_req_host( self )",46,47
15,2,79,1,19,"get_full_url@49-67@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","get_full_url","get_full_url( self )",49,67
2,1,7,1,2,"is_unverifiable@69-70@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","is_unverifiable","is_unverifiable( self )",69,70
2,2,21,2,2,"has_header@72-73@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","has_header","has_header( self , name )",72,73
2,1,33,3,2,"get_header@75-76@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","get_header","get_header( self , name , default = None )",75,76
4,1,15,3,5,"add_header@78-82@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","add_header","add_header( self , key , val )",78,82
2,1,17,3,2,"add_unredirected_header@84-85@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","add_unredirected_header","add_unredirected_header( self , name , value )",84,85
2,1,9,1,2,"get_new_headers@87-88@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","get_new_headers","get_new_headers( self )",87,88
2,1,11,1,2,"unverifiable@91-92@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","unverifiable","unverifiable( self )",91,92
2,1,11,1,2,"origin_req_host@95-96@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","origin_req_host","origin_req_host( self )",95,96
2,1,11,1,2,"host@99-100@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","host","host( self )",99,100
2,1,13,2,6,"__init__@110-115@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","__init__","__init__( self , headers )",110,115
2,1,9,1,2,"info@117-118@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","info","info( self )",117,118
2,1,15,2,2,"getheaders@120-121@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","getheaders","getheaders( self , name )",120,121
6,3,50,3,14,"extract_cookies_to_jar@124-137@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","extract_cookies_to_jar","extract_cookies_to_jar( jar , request , response )",124,137
4,1,31,2,9,"get_cookie_header@140-148@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","get_cookie_header","get_cookie_header( jar , request )",140,148
12,8,96,4,17,"remove_cookie_by_name@151-167@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","remove_cookie_by_name","remove_cookie_by_name( cookiejar , name , domain = None , path = None )",151,167
5,2,38,5,11,"get@194-204@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","get","get( self , name , default = None , domain = None , path = None )",194,204
12,3,78,4,18,"set@206-223@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","set","set( self , name , value , ** kwargs )",206,223
3,2,18,1,8,"iterkeys@225-232@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","iterkeys","iterkeys( self )",225,232
2,1,15,1,7,"keys@234-240@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","keys","keys( self )",234,240
3,2,18,1,8,"itervalues@242-249@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","itervalues","itervalues( self )",242,249
2,1,15,1,7,"values@251-257@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","values","values( self )",251,257
3,2,22,1,8,"iteritems@259-266@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","iteritems","iteritems( self )",259,266
2,1,15,1,8,"items@268-275@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","items","items( self )",268,275
6,3,36,1,7,"list_domains@277-283@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","list_domains","list_domains( self )",277,283
6,3,36,1,7,"list_paths@285-291@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","list_paths","list_paths( self )",285,291
7,4,44,1,12,"multiple_domains@293-304@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","multiple_domains","multiple_domains( self )",293,304
8,6,63,3,14,"get_dict@306-319@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","get_dict","get_dict( self , domain = None , path = None )",306,319
5,2,23,2,5,"__contains__@321-325@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","__contains__","__contains__( self , name )",321,325
2,1,15,2,8,"__getitem__@327-334@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","__getitem__","__getitem__( self , name )",327,334
2,1,18,3,6,"__setitem__@336-341@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","__setitem__","__setitem__( self , name , value )",336,341
2,1,14,2,5,"__delitem__@343-347@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","__delitem__","__delitem__( self , name )",343,347
8,4,72,4,8,"set_cookie@349-356@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","set_cookie","set_cookie( self , cookie , * args , ** kwargs )",349,356
6,3,44,2,7,"update@358-364@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","update","update( self , other )",358,364
7,7,63,4,19,"_find@366-384@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","_find","_find( self , name , domain = None , path = None )",366,384
14,9,84,4,28,"_find_no_duplicates@386-413@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","_find_no_duplicates","_find_no_duplicates( self , name , domain = None , path = None )",386,413
4,1,23,1,6,"__getstate__@415-420@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","__getstate__","__getstate__( self )",415,420
4,2,33,2,5,"__setstate__@422-426@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","__setstate__","__setstate__( self , state )",422,426
5,1,29,1,6,"copy@428-433@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","copy","copy( self )",428,433
2,1,10,1,3,"get_policy@435-437@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","get_policy","get_policy( self )",435,437
10,4,57,1,13,"_copy_cookie_jar@440-452@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","_copy_cookie_jar","_copy_cookie_jar( jar )",440,452
27,2,155,3,35,"create_cookie@455-489@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","create_cookie","create_cookie( name , value , ** kwargs )",455,489
25,5,164,1,27,"morsel_to_cookie@492-518@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","morsel_to_cookie","morsel_to_cookie( morsel )",492,518
9,7,72,3,19,"cookiejar_from_dict@521-539@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","cookiejar_from_dict","cookiejar_from_dict( cookie_dict , cookiejar = None , overwrite = True )",521,539
12,6,80,2,20,"merge_cookies@542-561@/tmp/requests/src/requests/cookies.py","/tmp/requests/src/requests/cookies.py","merge_cookies","merge_cookies( cookiejar , cookies )",542,561
27,5,127,2,42,"_basic_auth_str@25-66@/tmp/requests/src/requests/auth.py","/tmp/requests/src/requests/auth.py","_basic_auth_str","_basic_auth_str( username , password )",25,66
2,1,12,2,2,"__call__@72-73@/tmp/requests/src/requests/auth.py","/tmp/requests/src/requests/auth.py","__call__","__call__( self , r )",72,73
3,1,19,3,3,"__init__@79-81@/tmp/requests/src/requests/auth.py","/tmp/requests/src/requests/auth.py","__init__","__init__( self , username , password )",79,81
7,1,39,2,7,"__eq__@83-89@/tmp/requests/src/requests/auth.py","/tmp/requests/src/requests/auth.py","__eq__","__eq__( self , other )",83,89
2,1,12,2,2,"__ne__@91-92@/tmp/requests/src/requests/auth.py","/tmp/requests/src/requests/auth.py","__ne__","__ne__( self , other )",91,92
